Key,File,Type,english,schinese,tchinese
house_old_pyramid_01,POI,POIName,The D. Smith Residence,D·史密斯宅邸,D·史密斯宅邸
house_old_pyramid_02,POI,POIName,The McElveen Residence,麦克埃尔文宅邸,麥克埃爾文宅邸
house_old_pyramid_03,POI,POIName,The Cartel House,贩毒集团之屋,販毒集團之屋
house_old_pyramid_04,POI,POIName,The Gully Residence,沟谷宅邸,溝穀宅邸
house_old_pyramid_05,POI,POIName,The Reed Residence,里德宅邸,裡德宅邸
house_old_ranch_01,POI,POIName,The Wetz Residence,韦茨宅邸,韋茨宅邸
house_old_ranch_02,POI,POIName,The Redchurch Residence,红教堂宅邸,紅教堂宅邸
house_old_ranch_03,POI,POIName,The Goldsmith Residence,戈德史密斯宅邸,戈德史密斯宅邸
house_old_ranch_04,POI,POIName,The Jensen Residence,延森宅邸,延森宅邸
house_old_ranch_05,POI,POIName,The McMillin Residence,麦克米林宅邸,麥克米林宅邸
house_old_ranch_06,POI,POIName,The Huenink Residence,休宁克宅邸,休寧克宅邸
house_old_ranch_07,POI,POIName,The Brumit Residence,布鲁米特宅邸,布魯米特宅邸
house_old_ranch_08,POI,POIName,The Fermier Residence,费米耶宅邸,費米耶宅邸
house_old_ranch_09,POI,POIName,The McCormick Residence,麦考密克宅邸,麥考密克宅邸
house_old_ranch_10,POI,POIName,The Malone Residence,马龙宅邸,馬龍宅邸
house_old_ranch_11,POI,POIName,The Hoarders' House,囤积者之屋,囤積者之屋
house_old_ranch_12,POI,POIName,The McStab Residence,麦克斯塔布宅邸,麥克斯塔布宅邸
house_old_ranch_13,POI,POIName,The Serrano Residence,塞拉诺宅邸,塞拉諾宅邸
house_old_spanish_01,POI,POIName,The Serrano Residence,塞拉诺宅邸,塞拉諾宅邸
house_old_tudor_01,POI,POIName,The Asg?rd Residence,阿斯加德宅邸,阿斯加德宅邸
house_old_tudor_02,POI,POIName,The Williams Residence,威廉姆斯宅邸,威廉姆斯宅邸
house_old_tudor_03,POI,POIName,The Zeigler Residence,齐格勒宅邸,齊格勒宅邸
house_old_tudor_04,POI,POIName,R. Thornbury Residence,R·桑伯里宅邸,R·桑伯裡宅邸
house_old_tudor_05,POI,POIName,The McLemore Residence,麦克勒莫尔宅邸,麥克勒莫爾宅邸
house_old_tudor_06,POI,POIName,The Rippon Residence,里彭宅邸,裡彭宅邸
house_old_victorian_01,POI,POIName,Taylor Manor,泰勒庄园,泰勒莊園
house_old_victorian_02,POI,POIName,The Lopez Residence,洛佩兹宅邸,洛佩茲宅邸
house_old_victorian_03,POI,POIName,The Zavislak Residence,扎维斯拉克宅邸,紮維斯拉克宅邸
house_old_victorian_04,POI,POIName,The Neckarski Residence,内卡斯基宅邸,內卡斯基宅邸
house_old_victorian_05,POI,POIName,The Perkel Residence,珀克尔宅邸,珀克爾宅邸
house_old_victorian_06,POI,POIName,The Sandvik Residence,桑德维克宅邸,桑德維克宅邸
house_old_victorian_07,POI,POIName,The Schweizer Residence,施魏策尔宅邸,施魏策爾宅邸
house_old_victorian_08,POI,POIName,The Kenvyn Residence,肯文宅邸,肯文宅邸
house_old_victorian_09,POI,POIName,The Grand Forks Estate,大福克斯庄园,大福克斯莊園
house_old_victorian_10,POI,POIName,The Curren Residence,柯伦宅邸,柯倫宅邸
house_old_victorian_11,POI,POIName,The Philippe Residence,菲利普宅邸,菲力浦宅邸
house_old_victorian_12,POI,POIName,The Kostecky Residence,科斯特基宅邸,科斯特基宅邸
house_ultramodern_01,POI,POIName,Architect Dayson's House,戴森建筑师之屋,戴森建築師之屋
house_ultramodern_02,POI,POIName,The Collector's Manor,收藏家庄园,收藏家莊園
house_ultramodern_05,POI,POIName,Edgeview Estate,崖景庄园,崖景莊園
house_ultramodern_06,POI,POIName,Samuel David Residence,塞缪尔·戴维宅邸,撒母耳·大衛宅邸
house_ultramodern_09,POI,POIName,Solaris Loft,索拉里斯阁楼,索拉裡斯閣樓
house_ultramodern_10,POI,POIName,Chef Horden Clancy's Residence,霍登·克兰西主厨宅邸,霍登·克蘭西主廚宅邸
house_ultramodern_11,POI,POIName,The Last Party House,终局狂欢屋,終局狂歡屋
house_ultramodern_12,POI,POIName,Almeida Residence,阿尔梅达宅邸,阿爾梅達宅邸
house_ultramodern_13,POI,POIName,Pantelli Residence,潘特利宅邸,潘特利宅邸
house_ultramodern_14,POI,POIName,The Parkins-Jordaan Residence,帕金斯-乔丹宅邸,帕金斯-喬丹宅邸
house_ultramodern_15,POI,POIName,Uninhabited Mansion,无人豪宅,無人豪宅
house_ultramodern_16,POI,POIName,OLD Dr. Karen Higashi Residence,凯伦·东博士宅邸(旧),凱倫·東博士宅邸(舊)
house_ultramodern_19,POI,POIName,Mayor's Home,市长官邸,市長官邸
housing_development_01,POI,POIName,Housing Development,住宅开发区,住宅開發區
indian_burial_grounds_01,POI,POIName,Taza Burial Grounds,塔扎墓地,塔紮墓地
industrial_business_08,POI,POIName,P&B Machining,P&B机械厂,P&B機械廠
installation_red_mesa,POI,POIName,Red Mesa Compound,红台地基地,紅臺地基地
junkyard_01,POI,POIName,Ecotrash Recycling Center,生态垃圾回收中心,生態垃圾回收中心
lodge_01,POI,POIName,Journey's End,旅人终点旅馆,旅人終點旅館
lot_country_01,POI,POIName,Black Bus Mechanical,黑巴士汽修厂,黑巴士汽修廠
lot_country_02,POI,POIName,Shade Tree Auto,林荫汽修厂,林蔭汽修廠
lot_downtown_filler_01,POI,POIName,Downtown Construction Site,市中心工地,市中心工地
lot_industrial_01,POI,POIName,Industrial Service Systems,工业服务系统,工業服務系統
lot_industrial_02,POI,POIName,Industrial Trucking,工业货运场,工業貨運場
lot_industrial_03,POI,POIName,Clunky Oil,笨重石油储罐,笨重石油儲罐
lot_industrial_04,POI,POIName,Industrial Tank #1,1号工业储罐,1號工業儲罐
lot_industrial_05,POI,POIName,Busted Industrial Tank,破损工业储罐,破損工業儲罐
lot_industrial_06,POI,POIName,Destroyed Industrial Tank,摧毁的工业储罐,摧毀的工業儲罐
lot_industrial_07,POI,POIName,Industrial Tank #2,2号工业储罐,2號工業儲罐
lot_industrial_08,POI,POIName,Leaking Industrial Tank,泄漏工业储罐,洩漏工業儲罐
lot_industrial_09,POI,POIName,Clunky Oil Station,笨重石油站,笨重石油站
lot_industrial_10,POI,POIName,Industrial Construction Site #10,10号工业工地,10號工業工地
lot_industrial_11,POI,POIName,Power Distribution Station #1,1号配电站,1號配電站
lot_industrial_12,POI,POIName,Industrial Construction Site #12,12号工业工地,12號工業工地
lot_industrial_13,POI,POIName,Industrial Demolition Site,工业拆迁区,工業拆遷區
lot_industrial_14,POI,POIName,County Stockpile,郡县物资堆场,郡縣物資堆場
lot_industrial_15,POI,POIName,Power Distribution Station #2,2号配电站,2號配電站
lot_industrial_16,POI,POIName,Mo Power Service,电力服务公司,電力服務公司
lot_industrial_17,POI,POIName,Construction Warehouse,建筑仓库,建築倉庫
lot_industrial_18,POI,POIName,Carpet Warehouse,地毯仓库,地毯倉庫
lot_industrial_19,POI,POIName,Derelict Warehouse,废弃仓库,廢棄倉庫
lot_industrial_20,POI,POIName,Abandoned Depot,废弃货站,廢棄貨站
lot_industrial_21,POI,POIName,EZ-Chem Depot,EZ化学仓库,EZ化學倉庫
lot_rural_filler_01,POI,POIName,Backpack Hill,背包山,背包山
lot_rural_filler_02,POI,POIName,Blood Forest,血色森林,血色森林
lot_rural_filler_03,POI,POIName,Hay Field,干草田,乾草田
lot_rural_filler_04,POI,POIName,Sleepy Woods,寂静森林,寂靜森林
lot_rural_filler_05,POI,POIName,Lazy Timbers,懒汉林地,懶漢林地
lot_rural_filler_06,POI,POIName,Wrong Harvester,错误收割地,錯誤收割地
lot_rural_filler_07,POI,POIName,Cobblestone Clearing,圆石空地,圓石空地
lot_rural_filler_08,POI,POIName,Anvil Acres,铁砧农庄,鐵砧農莊
lot_rural_filler_09,POI,POIName,Gentle Grove,平缓树林,平緩樹林
lot_rural_filler_10,POI,POIName,Paul's Pay Lake,保罗佩湖,保羅佩湖
lot_rural_filler_11,POI,POIName,Whispering Woodlands,低语林地,低語林地
lot_ultramodern_empty_01,POI,POIName,Lot For Sale,待售地块,待售地塊
lot_ultramodern_empty_02,POI,POIName,Construction Site,建筑工地,建築工地
lot_ultramodern_empty_03,POI,POIName,Private Property,私人地块,私人地塊
lot_vacant_01,POI,POIName,Container Lot,集装箱堆场,集裝箱堆場
lot_vacant_02,POI,POIName,7 Hour Park,7小时公园,7小時公園
lot_vacant_03,POI,POIName,Hobo Camp,流浪汉营地,流浪漢營地
lot_vacant_04,POI,POIName,Corona Wipes Billboard,科罗娜湿巾广告牌,柯洛娜濕巾看板
lot_vacant_05,POI,POIName,Oskar's Dumpster,奥斯卡垃圾箱,奧斯卡垃圾箱
lot_vacant_06,POI,POIName,Shady Dawgs,幽影狗帮地盘,幽影狗幫地盤
lot_vacant_07,POI,POIName,Treehouse Treasures,树屋宝藏,樹屋寶藏
lot_vacant_08,POI,POIName,The Shed,工具棚,工具棚
lot_vacant_09,POI,POIName,Forgotten Playground,被遗忘游乐场,被遺忘遊樂場
mine_01,POI,POIName,Hybrid Mining,混合矿业,混合礦業
modern_church_01,POI,POIName,Church of Our Prized Lord,尊贵圣主教堂,尊貴聖主教堂
motel_01,POI,POIName,Nick's Motel,尼克汽车旅馆,尼克汽車旅館
motel_02,POI,POIName,Motel Seven,七日汽车旅馆,七日汽車旅館
motel_03,POI,POIName,Happy Sleep Motel,快乐睡眠旅馆,快樂睡眠旅館
motel_04,POI,POIName,Greg's Motel,格雷格汽车旅馆,葛列格汽車旅館
motel_05,POI,POIName,Motel Eight,八日汽车旅馆,八日汽車旅館
nursing_home_01,POI,POIName,The Last Sunset Nursing Home,栖日余晖疗养院,棲日餘暉療養院
office_01,POI,POIName,Echo Commons,回声公地办公楼,回聲公地辦公樓
office_02,POI,POIName,Rise Realty,崛起地产,崛起地產
office_03,POI,POIName,Historic Office Suites,历史办公套房,歷史辦公套房
office_04,POI,POIName,Smarketing,营销办公室,行銷辦公室
office_05,POI,POIName,Tri-Med Group,第三医药集团,第三醫藥集團
office_06,POI,POIName,Abandoned Office Building,废弃办公楼,廢棄辦公樓
oldwest_business_01,POI,POIName,Biskitz,比斯饼干店,比斯餅乾店
oldwest_business_02,POI,POIName,BJ Welding Company,BJ焊接公司,BJ焊接公司
oldwest_business_03,POI,POIName,Fine Swines,精致猪倌铺,精緻豬官鋪
oldwest_business_04,POI,POIName,Bath Haus,浴屋,浴屋
oldwest_business_05,POI,POIName,Oil Tycoons,石油大亨商店,石油大亨商店
oldwest_business_06,POI,POIName,Spitz Seeds,斯皮茨种子店,斯皮茨種子店
oldwest_business_07,POI,POIName,Eric's Stuff,埃里克的杂货,埃裡克的雜貨
oldwest_business_08,POI,POIName,Undie Takers,内衣店,內衣店
oldwest_business_09,POI,POIName,Earl's Wine Shack,厄尔酒铺,厄爾酒鋪
oldwest_business_10,POI,POIName,Rifle Martyrs,步枪烈士店,步槍烈士店
oldwest_business_11,POI,POIName,Skamson Grocery,斯卡姆森杂货,斯卡姆森雜貨
oldwest_business_12,POI,POIName,Cole's Books,科尔书店,科爾書店
oldwest_business_13,POI,POIName,Swiggin Serum,畅饮血清店,暢飲血清店
oldwest_business_14,POI,POIName,Lathan's Hardware,莱森五金店,萊森五金店
oldwest_church,POI,POIName,First Church of God,第一上帝教堂,第一上帝教堂
oldwest_coal_factory,POI,POIName,Bear-N-Land Coal Mining,熊地煤矿,熊地煤礦
oldwest_gallows,POI,POIName,Gallows,绞刑架,絞刑架
oldwest_jail,POI,POIName,Old West Sheriff,旧西部警长办公室,舊西部警長辦公室
oldwest_stables,POI,POIName,The Lazy H,懒H马厩,懶H馬廄
oldwest_strip_01,POI,POIName,Duke's General,公爵百货,公爵百貨
oldwest_strip_02,POI,POIName,Mornin Lumber Hotel,晨木旅馆,晨木旅館
oldwest_strip_03,POI,POIName,Bert's Brewery,伯特酿酒厂,伯特釀酒廠
oldwest_strip_04,POI,POIName,Metal Works,金属工坊,金屬工坊
oldwest_watertower,POI,POIName,Old West Water Tower,旧西部水塔,舊西部水塔
park_01,POI,POIName,Arbor Park,树荫公园,樹蔭公園
park_02,POI,POIName,Fountain Park,喷泉公园,噴泉公園
park_03,POI,POIName,Lone Pine Park,孤松公园,孤松公園
park_basketball,POI,POIName,Basketball Court,篮球场,籃球場
park_plaza_01,POI,POIName,Waterfall Plaza,瀑布广场,瀑布廣場
park_plaza_02,POI,POIName,Departure Plaza,启程广场,啟程廣場
parking_garage_01,POI,POIName,ParKing Garage #1,停车王车库#1,停車王車庫#1
parking_garage_02,POI,POIName,ParKing Garage #2,停车王车库#2,停車王車庫#2
parking_garage_03,POI,POIName,My Spot Parking,我的车位停车场,我的車位停車場
parking_garage_04,POI,POIName,My Spot Mega-Parking,我的车位超级停车场,我的車位超級停車場
parking_lot_01,POI,POIName,Park-n-Pay,付费停车场,付費停車場
parking_lot_02,POI,POIName,Mobile Field Hospital,移动战地医院,移動戰地醫院
parking_lot_03,POI,POIName,ParKing Lot,停车王停车场,停車王停車場
perishton_city_blk_01,POI,POIName,Perishton,佩里斯顿市,佩里斯頓市
perishton_city_blk_02,POI,POIName,Perishton,佩里斯顿市,佩里斯頓市
perishton_city_blk_03,POI,POIName,Perishton,佩里斯顿市,佩里斯頓市
perishton_city_blk_04,POI,POIName,Perishton,佩里斯顿市,佩里斯頓市
perishton_city_blk_05,POI,POIName,Perishton,佩里斯顿市,佩里斯頓市
perishton_city_blk_06,POI,POIName,Perishton,佩里斯顿市,佩里斯頓市
perishton_city_blk_plaza,POI,POIName,Perishton,佩里斯顿市,佩里斯頓市
perishton_city_sign_01,POI,POIName,Perishton,佩里斯顿市,佩里斯頓市
perishton_median_01,POI,POIName,Perishton,佩里斯顿市,佩里斯頓市
perishton_median_02,POI,POIName,Perishton,佩里斯顿市,佩里斯頓市
perishton_median_03,POI,POIName,Perishton,佩里斯顿市,佩里斯頓市
perishton_outlet,POI,POIName,Perishton,佩里斯顿市,佩里斯頓市
perishton_tunnel_01,POI,POIName,Perishton Tunnel South,佩里斯顿南隧道,佩里斯頓南隧道
perishton_tunnel_02,POI,POIName,Perishton Tunnel North,佩里斯顿北隧道,佩里斯頓北隧道
perishton_tunnel_north,POI,POIName,Perishton,佩里斯顿市,佩里斯頓市
perishton_waterworks,POI,POIName,Perishton,佩里斯顿市,佩里斯頓市
plaza_ultramodern_01,POI,POIName,Mayor's Plaza,市长广场,市長廣場
plaza_ultramodern_02,POI,POIName,Lindsey Plaza,林赛广场,琳賽廣場
plaza_ultramodern_03,POI,POIName,Galerie en Plein Air Plaza,露天画廊广场,露天畫廊廣場
police_station_03,POI,POIName,NPD 3rd Division,纳维加纳警局第三分局,納維迦納警局第三分局
post_office_01,POI,POIName,Downtown Post Office,市中心邮局,市中心郵局
post_office_02,POI,POIName,Post Office #2,2号邮局,2號郵局
prison_01,POI,POIName,Navezgane Corrections,纳维加纳惩教所,納維迦納懲教所
prison_02,POI,POIName,Navezgane County Jail,纳维加纳郡监狱,納維迦納郡監獄
quarry_02,POI,POIName,Correa Rockworx,科雷亚石业,科雷亞石業
radio_station_01,POI,POIName,KZL Radio Station,KZL广播电台,KZL廣播電臺
radio_station_02,POI,POIName,ZMB Radio Station,ZMB广播电台,ZMB廣播電臺
radio_station_03,POI,POIName,KZZ Radio Station,KZZ广播电台,KZZ廣播電臺
ranger_station_01,POI,POIName,Ranger Station Alpha,护林员阿尔法站,護林員阿爾法站
ranger_station_02,POI,POIName,Ranger Station Beta,护林员贝塔站,護林員貝塔站
ranger_station_03,POI,POIName,Ranger Station Charlie,护林员查理站,護林員查理站
ranger_station_04,POI,POIName,Ranger Station Delta,护林员德尔塔站,護林員德爾塔站
ranger_station_05,POI,POIName,Ranger Station Foxtrot,护林员福克斯站,護林員福克斯站
ranger_station_06,POI,POIName,Ranger Station Echo,护林员回声站,護林員回聲站
ranger_station_07,POI,POIName,Ranger Station Golf,护林员高尔夫站,護林員高爾夫站
remnant_burnt_01,POI,POIName,The Crisp Residence,克里斯普宅邸,克裡斯普宅邸
remnant_burnt_02,POI,POIName,The Cook Residence,库克宅邸,庫克宅邸
remnant_burnt_03,POI,POIName,The Kindle Residence,金德尔宅邸,金德爾宅邸
remnant_burnt_04,POI,POIName,Burnt Cafe,烧毁咖啡馆,燒毀咖啡館
remnant_burnt_05,POI,POIName,Jon's Ham Radios,乔恩的业余电台,喬恩的業餘電臺
remnant_burnt_06,POI,POIName,Plating Company,电镀公司,電鍍公司
remnant_burnt_07,POI,POIName,Krispy Kitchen,香脆厨房,香脆廚房
remnant_burnt_08,POI,POIName,Mini Market,迷你超市,迷你超市
remnant_burnt_09,POI,POIName,The Black Residence,布莱克宅邸,布萊克宅邸
remnant_burnt_10,POI,POIName,The Tan Residence,谭公馆,譚公館
remnant_business_01,POI,POIName,Shamway Processing,山威加工厂,山威加工廠
remnant_business_02,POI,POIName,Pop-N-Pills Urgent Care,快克药业急救中心,快克藥業急救中心
remnant_business_03,POI,POIName,Country Crack-a-Book,乡村破书书店,鄉村破書書店
remnant_business_04,POI,POIName,Deserted Working Stiff Tools,废弃苦力工具店,廢棄苦力工具店
remnant_business_05,POI,POIName,Ransacked Shotgun Messiah,洗劫一空的霰弹枪救星店,洗劫一空的霰彈槍救星店
remnant_business_06,POI,POIName,Kruz-Thru Liquors,十字酒品店,十字酒品店
remnant_carwash_01,POI,POIName,Auto Wash,自动洗车场,自動洗車場
remnant_church_01,POI,POIName,Cathedral of the Fallen,陨落者大教堂,隕落者大教堂
remnant_coffee_shop_01,POI,POIName,Drive-Up Coffee,得来速咖啡,得來速咖啡
remnant_coffee_shop_02,POI,POIName,Quick Cup,快杯咖啡,快杯咖啡
remnant_coffee_shop_03,POI,POIName,Coffee Shed,咖啡小屋,咖啡小屋
remnant_commercial_large_02,POI,POIName,Navezgane Outlets,纳维加纳折扣店,納維迦納折扣店
remnant_commercial_strip_03,POI,POIName,Outlaw Outlets,法外之徒折扣店,法外之徒折扣店
remnant_commercial_strip_04,POI,POIName,Westwood Place,西木广场,西木廣場
remnant_commercial_strip_05,POI,POIName,Paradise Plaza,天堂广场,天堂廣場
remnant_downtown_filler_01,POI,POIName,Army Takeover,军队接管区,軍隊接管區
remnant_downtown_filler_02,POI,POIName,Arkco Rusco,阿克拉斯科公司,阿克拉斯科公司
remnant_downtown_filler_04,POI,POIName,Ivant Business Park,伊万特商业园,伊萬特商業園
remnant_downtown_filler_05,POI,POIName,Four Oaks Apartments,四橡树公寓,四橡樹公寓
remnant_downtown_filler_06,POI,POIName,Shabby St. Outlet,破街折扣店,破街折扣店
remnant_downtown_filler_07,POI,POIName,Abandoned Downtown Deli,废弃市中心熟食店,廢棄市中心熟食店
remnant_downtown_filler_08,POI,POIName,The View Offices,景观办公楼,景觀辦公樓
remnant_downtown_filler_09,POI,POIName,Racy's,蕾西店,蕾西店
remnant_downtown_filler_11,POI,POIName,Moda Bar,时尚酒吧,時尚酒吧
remnant_downtown_filler_12,POI,POIName,Destroyed Pharmacy,被毁药房,被毀藥房
remnant_downtown_filler_14,POI,POIName,Crumbled Mo' Power Store,坍塌的电力商店,坍塌的電力商店
remnant_downtown_filler_15,POI,POIName,Downtown Hotel,市中心酒店,市中心酒店
remnant_downtown_filler_16,POI,POIName,Decayed Office Tower,腐朽办公楼,腐朽辦公樓
remnant_downtown_filler_17,POI,POIName,Governor's Office,州长办公室,州長辦公室
remnant_downtown_filler_18,POI,POIName,Condemned Property,废弃房产,廢棄房產
remnant_downtown_filler_19,POI,POIName,Critic's Corner,评论家角落,評論家角落
remnant_downtown_filler_20,POI,POIName,LUX Restaurant,奢华餐厅,奢華餐廳
remnant_downtown_filler_21,POI,POIName,Pete's Grill,皮特烧烤店,皮特燒烤店
remnant_downtown_filler_22,POI,POIName,Ship-n-sip Station,即饮即走站,即飲即走站
remnant_downtown_filler_23,POI,POIName,Booze Vault,酒窖,酒窖
remnant_downtown_filler_24,POI,POIName,Oasis Workspaces,绿洲办公区,綠洲辦公區
remnant_downtown_filler_25,POI,POIName,Bark Buzz Business Complex,巴克巴斯商业中心,巴克巴斯商業中心
remnant_downtown_filler_26,POI,POIName,Flavor Corner,风味角落,風味角落
remnant_downtown_filler_27,POI,POIName,JBB Worksite #27,JBB工地#27,JBB工地#27
remnant_downtown_filler_28,POI,POIName,Clean & Cozy Corner,洁净舒适角落,潔淨舒適角落
remnant_downtown_filler_29,POI,POIName,Stock Shark Offices,股票鲨鱼公司,股票鯊魚公司
remnant_downtown_filler_30,POI,POIName,Resolution Square,决议广场,決議廣場
remnant_downtown_strip_01,POI,POIName,The AZ Sport Business Pavilion,AZ运动商业馆,AZ運動商業館
remnant_downtown_strip_02,POI,POIName,Route 66 Restaurant Row,66号公路餐厅街,66號公路餐廳街
remnant_downtown_strip_03,POI,POIName,Willtronics Corner,威尔电子角落,威爾電子角落
remnant_downtown_strip_04,POI,POIName,Buffalo Blues Building,野牛布鲁斯大楼,野牛布魯斯大樓
remnant_downtown_strip_05,POI,POIName,ZBrews Row,Z酿酒街,Z釀酒街
remnant_downtown_strip_06,POI,POIName,Sapphire Square,蓝宝石广场,藍寶石廣場
remnant_downtown_strip_07,POI,POIName,Bruno's Boulevard,布鲁诺大道,布魯諾大道
remnant_downtown_strip_08,POI,POIName,Urban Style Shops,都市风格商店,都市風格商店
remnant_downtown_strip_09,POI,POIName,Rhythm & Brews District,韵律与酿酒区,韻律與釀酒區
remnant_downtown_strip_11,POI,POIName,Fallen Rock Apartments,落石公寓,落石公寓
remnant_downtown_strip_12,POI,POIName,Patriot Pavilion,爱国者展馆,愛國者展館
remnant_downtown_strip_13,POI,POIName,Circuit Splits Station,分路电路站,分路電路站
remnant_downtown_strip_14,POI,POIName,Massive Gains Mall,巨利商场,巨利商場
remnant_downtown_strip_15,POI,POIName,Bloomington Square,布卢明顿广场,布隆明頓廣場
remnant_downtown_strip_16,POI,POIName,Carlos' Travel Center,卡洛斯旅行中心,卡洛斯旅行中心
remnant_downtown_strip_17,POI,POIName,Perk Penny Place,便士福利广场,便士福利廣場
remnant_downtown_strip_18,POI,POIName,Navezgane Bus Terminal,纳维加纳巴士总站,納維迦納巴士總站
remnant_downtown_strip_19,POI,POIName,Blue Clover Hotel,蓝苜蓿酒店,藍苜蓿酒店
remnant_downtown_strip_20,POI,POIName,Fallen Survivor Compound,陷落幸存者营地,陷落倖存者營地
remnant_farm_01,POI,POIName,Dell Farms,戴尔农场,戴爾農場
remnant_farm_02,POI,POIName,Yolk River Ranch,蛋黄河牧场,蛋黃河牧場
remnant_farm_05,POI,POIName,The Tackle Box,钓具盒,釣具盒
remnant_gas_station_01,POI,POIName,Wasted Pass-N-Gas,废弃通燃加油站,廢棄通燃加油站
remnant_hospital_01,POI,POIName,Midway Hospital,中途医院,中途醫院
remnant_hotel_01,POI,POIName,The Joelton Hotel,乔尔顿酒店,喬爾頓酒店
remnant_house_01,POI,POIName,The Pokket Residence,波克特宅邸,波克特宅邸
remnant_house_02,POI,POIName,The Rodriguez Residence,罗德里格斯宅邸,羅德里格斯宅邸
remnant_house_03,POI,POIName,The Chikorina Residence,奇科里纳宅邸,奇科裡納宅邸
remnant_house_04,POI,POIName,The Splinter Residence,斯普林特宅邸,斯普林特宅邸
remnant_house_05,POI,POIName,Aves Manor,埃夫斯庄园,埃夫斯莊園
remnant_house_06,POI,POIName,The Lemon Residence,莱蒙宅邸,萊蒙宅邸
remnant_house_07,POI,POIName,The White Residence,怀特宅邸,懷特宅邸
remnant_house_08,POI,POIName,The Berry Residence,贝里宅邸,貝裡宅邸
remnant_house_09,POI,POIName,Wax Manor,瓦克斯庄园,瓦克斯莊園
remnant_house_10,POI,POIName,The Collins Residence,柯林斯宅邸,柯林斯宅邸
remnant_house_11,POI,POIName,The Olive Residence,奥利弗宅邸,奧利弗宅邸
remnant_house_12,POI,POIName,The Azure Residence,天蓝宅邸,天藍宅邸
remnant_house_13,POI,POIName,The Lincoln Residence,林肯宅邸,林肯宅邸
remnant_house_14,POI,POIName,The Alabaster Residence,雪花石膏宅邸,雪花石膏宅邸
remnant_house_15,POI,POIName,The Washington Residence,华盛顿宅邸,華盛頓宅邸
remnant_house_16,POI,POIName,The Sky Residence,天空宅邸,天空宅邸
remnant_house_17,POI,POIName,The Johnson Residence,约翰逊宅邸,詹森宅邸
remnant_house_18,POI,POIName,The Smoky Loft,烟熏阁楼,煙熏閣樓
remnant_house_19,POI,POIName,Hangman's Retreat ,刽子手静居,劊子手靜居
remnant_house_20,POI,POIName,Philip Powers Residence,菲利普·鲍尔斯宅邸,菲力浦·鮑爾斯宅邸
remnant_house_modern_01,POI,POIName,Marta's Hollow,玛尔塔谷,瑪爾塔穀
remnant_house_modern_02,POI,POIName,Ransacked Residence,洗劫一空的宅邸,洗劫一空的宅邸
remnant_house_modern_03,POI,POIName,Soakley Residence,索克利宅邸,索克利宅邸
remnant_house_ultramodern_01,POI,POIName,Bankrupted Construction,破产建筑,破產建築
remnant_house_ultramodern_02,POI,POIName,Wardrip Manor,沃德里普庄园,沃德里普莊園
remnant_house_ultramodern_03,POI,POIName,Rutherford House,卢瑟福宅邸,盧瑟福宅邸
remnant_house_ultramodern_04,POI,POIName,Goldstein Residence,戈德斯坦宅邸,戈德斯坦宅邸
remnant_house_ultramodern_05,POI,POIName,Grown-Up Media Group,成长媒体集团,成長媒體集團
remnant_house_ultramodern_06,POI,POIName,Stream Bro's Crib,直播兄弟之家,直播兄弟之家
remnant_house_ultramodern_07,POI,POIName,Understone Villa,下石别墅,下石別墅
remnant_house_ultramodern_08,POI,POIName,Stampford House,斯坦普福德宅邸,斯坦普福德宅邸
remnant_library_01,POI,POIName,Navezgane Public Library,纳维加纳公共图书馆,納維迦納公共圖書館
remnant_library_02,POI,POIName,Rogue Nerds Refuge,叛逆书呆子避难所,叛逆書呆子避難所
remnant_lot_industrial_01,POI,POIName,Dirt Jump Depot,土坡跳跃场,土坡跳躍場
remnant_mill_01,POI,POIName,Buddies Grain,巴迪谷物厂,巴迪穀物廠
remnant_oldwest_01,POI,POIName,The Forgotten Wagon,被遗忘的马车,被遺忘的馬車
remnant_oldwest_02,POI,POIName,The Breakdown,故障点,故障點
remnant_oldwest_03,POI,POIName,The Raid,突袭点,突襲點
remnant_oldwest_04,POI,POIName,The Frontiersman,拓荒者营地,拓荒者營地
remnant_oldwest_05,POI,POIName,The Runaway Spark,逃窜火花营地,逃竄火花營地
remnant_oldwest_06,POI,POIName,The Hot Tub,热水浴缸,熱水浴缸
remnant_oldwest_07,POI,POIName,Matchstick Hotel,火柴旅馆,火柴旅館
remnant_oldwest_08,POI,POIName,The Clutter Chest,杂物箱,雜物箱
remnant_oldwest_09,POI,POIName,Ruined Barn,毁坏的谷仓,毀壞的穀倉
remnant_quicklube_01,POI,POIName,Quick Lube,快速润滑店,快速潤滑店
remnant_school_01,POI,POIName,Montgomery Public School,蒙哥马利公立学校,蒙哥馬利公立學校
remnant_selfstorage_01,POI,POIName,A1 Self Storage,A1自助仓库,A1自助倉庫
remnant_selfstorage_02,POI,POIName,Top Storage,顶级仓库,頂級倉庫
remnant_skyscraper_01,POI,POIName,Abandoned Office Tower,废弃办公塔楼,廢棄辦公塔樓
remnant_skyscraper_02,POI,POIName,Zillion Tower,兆亿塔,兆億塔
remnant_skyscraper_03,POI,POIName,Demolition Site,拆迁现场,拆遷現場
remnant_skyscraper_04,POI,POIName,Meridian Center,子午线中心,子午線中心
remnant_skyscraper_05,POI,POIName,HNN Bank Building,HNN银行大厦,HNN銀行大廈
remnant_sports_center_01,POI,POIName,Friendszone Sports Center,朋友圈体育中心,朋友圈體育中心
